Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
KIAA1211L	C2orf55, MGC42367	ENSG00000196872	Q6NV74	Microtubules, Centrosome
KIAA1671		ENSG00000197077	Q9BY89	Microtubules
KIF18A	DKFZP434G2226, PPP1R99	ENSG00000121621	Q8NI77	Microtubules, Cytokinetic bridge
KIF26B	FLJ10157	ENSG00000162849	Q2KJY2	Plasma membrane, Microtubules
KIF2B		ENSG00000141200	Q8N4N8	Microtubules, Cytokinetic bridge, Mitotic spindle
KLHL22	FLJ14360, KELCHL	ENSG00000099910	Q53GT1	Golgi apparatus, Mitotic spindle
KLHL4	DKELCHL, KHL4, KIAA1687	ENSG00000102271	Q9C0H6	Microtubules
KLHL6	FLJ00029	ENSG00000172578	Q8WZ60	Centriolar satellite
LANCL1	GPR69A, p40	ENSG00000115365	O43813	Microtubules
LARP6	acheron, FLJ11196	ENSG00000166173	Q9BRS8	Microtubules
LDLRAP1	ARH, ARH2, DKFZp586D0624, FHCB1, FHCB2, MGC34705	ENSG00000157978	Q5SW96	Microtubules
LRRC34	MGC27085	ENSG00000171757	Q8IZ02	Cell Junctions, Microtubules
LRTOMT	CFAP111, COMT2, DFNB63, LRRC51	ENSG00000184154	Q8WZ04, Q96E66	Microtubules
MAP2K5	HsT17454, MAPKK5, MEK5, PRKMK5	ENSG00000137764	Q13163	Nucleoli, Microtubules
MAP4		ENSG00000047849	P27816	Plasma membrane, Microtubules, Cytosol
MAP7	E-MAP-115	ENSG00000135525	Q14244	Microtubules, Cytosol
MAP7D1	FLJ10350, FLJ39022, PARCC1, RPRC1	ENSG00000116871	Q3KQU3	Microtubules, Cytosol
MATK	CHK, CTK, DKFZp434N1212, HHYLTK, HYL, HYLTK, Lsk, MGC1708, MGC2101	ENSG00000007264	P42679	Microtubules
MEGF6	EGFL3	ENSG00000162591	O75095	Microtubules
METTL7B	ALDI, MGC17301	ENSG00000170439	Q6UX53	Microtubules
MRRF	RRF	ENSG00000148187	Q96E11	Microtubules, Cytokinetic bridge
MTUS1	ATBP, ATIP1, ATIP3, DKFZp586D1519, FLJ14295, ICIS, KIAA1288, MP44, MTSG1	ENSG00000129422	Q9ULD2	Nucleoli, Microtubules
MTUS2	CAZIP, ICIS, KIAA0774, TIP150	ENSG00000132938	Q5JR59	Microtubules, Cytokinetic bridge
MYL10	MGC3479, MYLC2PL, PLRLC	ENSG00000106436	Q9BUA6	Microtubules
MYL2	CMH10	ENSG00000111245	P10916	Microtubules
NAE1	APP-BP1, APPBP1, ula-1	ENSG00000159593	Q13564	Nucleoplasm
NAP1L1	MGC23410, MGC8688, NAP1, NAP1L, NRP	ENSG00000187109	P55209	Microtubules
NAV1	DKFZp781D0314, FLJ12560, FLJ14203, KIAA1151, MGC14961, POMFIL3, steerin-1	ENSG00000134369	Q8NEY1	Microtubules
NDRG1	CAP43, DRG1, NDR1, RTP, TDD5	ENSG00000104419	Q92597	Cytosol
NEK3	HSPK36, MGC29949	ENSG00000136098	P51956	Microtubules
NKIRAS1	kappaB-Ras1, KBRAS1	ENSG00000197885	Q9NYS0	Microtubules
NUAK1	ARK5, KIAA0537, NuaK1	ENSG00000074590	O60285	Nucleoli fibrillar center
NUCB1	Calnuc, NUC	ENSG00000104805	Q02818	Golgi apparatus
NUDCD2	DKFZp686E10109, NudCL2	ENSG00000170584	Q8WVJ2	Microtubules
NUDT14	UGPP	ENSG00000183828	O95848	Microtubules
NUTF2	NTF2, PP15	ENSG00000102898	P61970	Microtubules
OCRL	OCRL1	ENSG00000122126	Q01968	Cytosol
OFD1	71-7A, CXorf5, JBTS10, RP23	ENSG00000046651	O75665	Microtubules
OTUD7B	CEZANNE, ZA20D1	ENSG00000264522	Q6GQQ9	Nucleoplasm, Microtubules
PACS1	FLJ10209, KIAA1175	ENSG00000175115	Q6VY07	Microtubules, Cytosol
PAM16	Magmas, Tim16, TIMM16	ENSG00000217930	Q9Y3D7	Nucleoplasm, Mitochondria
PCIF1	bA465L10.1, C20orf67, PPP1R121	ENSG00000100982	Q9H4Z3	Nucleoplasm
PGAP2	CWH43-N, FRAG1, MRT21	ENSG00000148985	Q9UHJ9	Microtubules
PIAS1	DDXBP1, GBP, GU/RH-II, ZMIZ3	ENSG00000033800	O75925	Microtubules
PIK3R4	p150, VPS15	ENSG00000196455	Q99570	Vesicles
PLCB4		ENSG00000101333	Q15147	Microtubules
PLCD1		ENSG00000187091	P51178	Microtubules
POLR2C	RPB3	ENSG00000102978	P19387	Nucleoplasm
PPDPF	C20orf149, dJ697K14.9, exdpf	ENSG00000125534	Q9H3Y8	Nucleoplasm, Microtubules
PPP1R3E	FLJ00089	ENSG00000235194	Q9H7J1	Microtubules, Mitochondria
PRC1	ASE1	ENSG00000198901	O43663	Plasma membrane, Microtubules, Cytokinetic bridge, Midbody
PRKCI	DXS1179E, PKCI	ENSG00000163558	P41743	Cytosol
PRMT9	FLJ46629, PRMT10	ENSG00000164169	Q6P2P2	Microtubules
PSMD12	p55, Rpn5	ENSG00000197170	O00232	Microtubules
RABIF	mss4, RASGRF3	ENSG00000183155	P47224	Microtubules, Cytokinetic bridge
RAPGEFL1	Link-GEFII	ENSG00000108352	Q9UHV5	Nucleoplasm, Microtubules
RASEF	FLJ31614, RAB45	ENSG00000165105	Q8IZ41	Microtubules
RBM39	CAPER, CAPERalpha, CC1.3, fSAP59, HCC1, RNPC2	ENSG00000131051	Q14498	Nucleoplasm, Nuclear speckles
RELL1		ENSG00000181826	Q8IUW5	Plasma membrane, Microtubules
RHBDD3	C22orf3, PTAG	ENSG00000100263	Q9Y3P4	Microtubules
RNF141	ZFP26, ZNF230	ENSG00000110315	Q8WVD5	Microtubules
RNF215		ENSG00000099999	Q9Y6U7	Microtubules
ROR1	NTRKR1	ENSG00000185483	Q01973	Microtubules
RPL6	L6, TAXREB107, TXREB1	ENSG00000089009	Q02878	Microtubules, Cytokinetic bridge
RPUSD2	C15orf19, C18B11, FLJ31409	ENSG00000166133	Q8IZ73	Nucleoplasm, Microtubules
SCYL3	PACE-1, PACE1	ENSG00000000457	Q8IZE3	Microtubules
SDHAF3	ACN9, DC11, LYRM10, Sdh7	ENSG00000196636	Q9NRP4	Mitochondria
Sep-12	FLJ25410	ENSG00000140623	Q8IYM1	Microtubules
SH2D3A	NSP1	ENSG00000125731	Q9BRG2	Microtubules
SH3GL2	CNSA2, EEN-B1, SH3D2A, SH3P4	ENSG00000107295	Q99962	Microtubules
SHCBP1	FLJ22009, PAL	ENSG00000171241	Q8NEM2	Nuclear bodies
SHMT2	SHMT	ENSG00000182199	P34897	Mitochondria
SKA1	C18orf24, MGC10200	ENSG00000154839	Q96BD8	Microtubules
SKA3	C13orf3, MGC4832, RAMA1	ENSG00000165480	Q8IX90	Microtubules
