Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
JPT1	ARM2, HN1, HN1A	ENSG00000189159	Q9UK76	Nucleoplasm
KCNC1	Kv3.1	ENSG00000129159	P48547	Nucleoplasm, Nuclear membrane
KIAA0930	bK268H5.C22.1, C22orf9	ENSG00000100364	Q6ICG6	Nuclear membrane, Mitochondria
KIAA1549		ENSG00000122778	Q9HCM3	Nuclear membrane
KIAA1586		ENSG00000168116	Q9HCI6	Nucleoplasm, Nuclear membrane
KIAA1614		ENSG00000135835	Q5VZ46	Nuclear membrane, Vesicles
KIF3C		ENSG00000084731	O14782	Nuclear bodies, Intermediate filaments
KLHDC2	HCLP-1, LCP	ENSG00000165516	Q9Y2U9	Nucleoplasm, Nuclear membrane
KLK6	Bssp, Klk7, neurosin, PRSS18, PRSS9	ENSG00000167755	Q92876	Nucleoplasm
KLK7	PRSS6, SCCE	ENSG00000169035	P49862	Plasma membrane
KPNB1	IMB1, Impnb, IPO1, IPOB, MGC2155, MGC2156, MGC2157, NTF97	ENSG00000108424	Q14974	Nuclear membrane
KRT77	KRT1B	ENSG00000189182	Q7Z794	Nuclear membrane, Plasma membrane
KRT79	K6L, KRT6L	ENSG00000185640	Q5XKE5	Nucleoplasm, Nuclear membrane, Cytosol
KRTAP25-1	KAP25.1	ENSG00000232263	Q3LHN0	Nuclear membrane
LBR	DHCR14B, TDRD18	ENSG00000143815	Q14739	Nuclear membrane
LCORL	FLJ30696, MLR1	ENSG00000178177	Q8N3X6	Nucleoplasm
LEMD2	dJ482C21.1, NET25	ENSG00000161904	Q8NC56	Nuclear membrane
LEMD3	MAN1	ENSG00000174106	Q9Y2U8	Nuclear membrane
LHX1	LIM-1, LIM1	ENSG00000273706	P48742	Nucleoplasm
LMNB1		ENSG00000113368	P20700	Nuclear membrane
LMNB2	LMN2	ENSG00000176619	Q03252	Nuclear membrane
LRR1	LRR-1, MGC20689, PPIL5	ENSG00000165501	Q96L50	Nucleoplasm, Nuclear membrane
