Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
NDC80	HEC, HEC1, hsNDC80, KNTC2, TID3	ENSG00000080986	O14777	Nucleoplasm
NEDD1	GCP-WD, TUBGCP7	ENSG00000139350	Q8NHV4	Nucleoplasm, Centrosome
NEK2	NEK2A, NLK1, PPP1R111, RP67	ENSG00000117650	P51955	Nucleoplasm, Centrosome
NFKBIB	IKBB, TRIP9	ENSG00000104825	Q15653	Nucleoplasm
NIN		ENSG00000100503	Q8N4C6	Centrosome
NIT2		ENSG00000114021	Q9NQR4	Cytosol
NLRC5	CLR16.1, FLJ21709, NOD27	ENSG00000140853	Q86WI3	Centrosome
NPTX2		ENSG00000106236	P47972	Golgi apparatus, Actin filaments
NR6A1	CT150, GCNF, GCNF1, RTR	ENSG00000148200	Q15406	Nucleoplasm
NUDT17	FLJ34433	ENSG00000186364	P0C025	Centrosome, Cytosol
NUDT5	hYSAH1, YSA1H	ENSG00000165609	Q9UKK9	Vesicles
NUP107	NUP84	ENSG00000111581	P57740	Nucleoplasm
OAS2		ENSG00000111335	P29728	Centrosome
OBSL1	KIAA0657	ENSG00000124006	O75147	Centrosome
ODF2	CT134, ODF84	ENSG00000136811	Q5BJF6	Centrosome
OR4N4		ENSG00000183706	Q8N0Y3	Centrosome
PAFAH1B1	LIS1, MDCR, MDS, NudF, PAFAH	ENSG00000007168	P43034	Centrosome
PAOX	PAO	ENSG00000148832	Q6QHF9	Nucleoplasm, Centrosome
PCDH9		ENSG00000184226	Q9HC56	Nucleoplasm, Centrosome
PCLAF	KIAA0101, NS5ATP9, OEATC-1, p15(PAF), PAF15	ENSG00000166803	Q15004	Centrosome
PCM1	PTC4	ENSG00000078674	Q15154	Centrosome
PCNT	KEN, KIAA0402, PCN, PCNT2, PCNTB, SCKL4	ENSG00000160299	O95613	Centrosome
PCYT2	ET	ENSG00000185813	Q99447	Centrosome
PEAR1	FLJ00193, JEDI, MEGF12	ENSG00000187800	Q5VY43	Nucleoplasm, Cell Junctions
PGBD4	FLJ32638, FLJ37497	ENSG00000182405	Q96DM1	Nucleoplasm
PKN2	Pak-2, PRK2, PRKCL2, STK7	ENSG00000065243	Q16513	Nucleoplasm, Intermediate filaments
PLAG1	ZNF912	ENSG00000181690	Q6DJT9	Nucleoplasm, Nuclear speckles
PLEKHG3	ARHGEF43, KIAA0599	ENSG00000126822	A1L390	Plasma membrane, Cytosol
PLEKHG6	FLJ10665, MYOGEF	ENSG00000008323	Q3KR16	Cell Junctions
PLEKHH1	KIAA1200	ENSG00000054690	Q9ULM0	Centrosome
PLEKHS1	bA211N11.2, C10orf81, FLJ23537	ENSG00000148735	Q5SXH7	Centrosome
PLK4	Sak, STK18	ENSG00000142731	O00444	Centrosome, Cytosol
PLVAP	FELS, gp68, PV-1, PV1	ENSG00000130300	Q9BX97	Cytosol
POFUT1	FUT12, KIAA0180, O-Fuc-T, O-FUT	ENSG00000101346	Q9H488	Centrosome
POLR3H	KIAA1665, RPC8	ENSG00000100413	Q9Y535	Nucleoplasm
PPP2R1B	PP2A-Abeta, PR65B	ENSG00000137713	P30154	Cytosol
PPP4R3B	FLFL2, FLJ31474, KIAA1387, PSY2, SMEK2	ENSG00000275052	Q5MIZ7	Nucleoplasm, Nuclear speckles
PSMB5	MB1, X	ENSG00000100804	P28074	Nucleoplasm, Centrosome
PXN		ENSG00000089159	P49023	Focal adhesion sites
QRSL1	DKFZP564C1278, FLJ10989, FLJ12189, FLJ13447, GatA	ENSG00000130348	Q9H0R6	Vesicles
RAB22A		ENSG00000124209	Q9UL26	Centrosome
RAB26		ENSG00000167964	Q9ULW5	Vesicles, Plasma membrane
RAB3A		ENSG00000105649	P20336	Nucleoplasm
RABL2A		ENSG00000144134	Q9UBK7	Centrosome
RABL2B		ENSG00000079974	Q9UNT1	Centrosome
RABL6	bA216L13.9, C9orf86, FLJ10101, FLJ13045, Parf, pp8875, RBEL1	ENSG00000196642	Q3YEC7	Cytosol
RAPGEF2	DKFZP586O1422, KIAA0313, PDZ-GEF1, PDZGEF1, RA-GEF	ENSG00000109756	Q9Y4G8	Nucleoplasm, Vesicles, Centrosome
RAPGEF6	PDZ-GEF2, PDZGEF2, RA-GEF-2	ENSG00000158987	Q8TEU7	Cytosol
RAPSN	CMS1D, CMS1E, RNF205	ENSG00000165917	Q13702	Plasma membrane, Centrosome, Cytosol
RFPL4A	RFPL4, RNF210	ENSG00000223638	A6NLU0	Centrosome, Cytosol
RFPL4AL1	RNF210B	ENSG00000229292	F8VTS6	Centrosome, Cytosol
RGL4	Rgr	ENSG00000159496	Q8IZJ4	Centrosome
RHEBL1	FLJ25797, MGC34869, RHEB2	ENSG00000167550	Q8TAI7	Nucleoplasm, Centrosome
RLBP1	CRALBP	ENSG00000140522	P12271	Cytosol
RMDN1	CGI-90, FAM82B, FLJ20665, RMD1	ENSG00000176623	Q96DB5	Centrosome
RNF39	HZFw1, LIRF	ENSG00000204618	Q9H2S5	Vesicles, Plasma membrane, Centrosome
RRAGD	bA11D8.2.1, DKFZP761H171	ENSG00000025039	Q9NQL2	Nucleoplasm, Centrosome
RSPH1	CILD24, FLJ32753, RSP44, RSPH10A, TSGA2	ENSG00000160188	Q8WYR4	Centrosome
RUVBL2	ECP51, INO80J, Reptin52, RVB2, TIH2, TIP48, TIP49b	ENSG00000183207	Q9Y230	Nucleoplasm, Cytosol
SDCCAG8	BBS16, CCCAP, NPHP10, NY-CO-8, SLSN7	ENSG00000054282	Q86SQ7	Centrosome
SEC14L4	dJ130H16.5, TAP3	ENSG00000133488	Q9UDX3	Centrosome
SEMA4F	SEMAM, SEMAW	ENSG00000135622	O95754	Nucleoplasm
SERINC5	C5orf12, TPO1	ENSG00000164300	Q86VE9	Plasma membrane, Cytosol
SERPINB6	CAP, DFNB91, PI6, PTI	ENSG00000124570	P35237	Centrosome
SH3RF3	FLJ00204, POSH2, SH3MD4	ENSG00000172985	Q8TEJ3	Nucleoplasm
SKA3	C13orf3, MGC4832, RAMA1	ENSG00000165480	Q8IX90	Microtubules
SLAIN2	FLJ21611, KIAA1458	ENSG00000109171	Q9P270	Centrosome
SLC18A2	SVAT, SVMT, VMAT2	ENSG00000165646	Q05940	Vesicles
SLC1A4	ASCT1, SATT	ENSG00000115902	P43007	Centrosome
SMAD4	DPC4, MADH4	ENSG00000141646	Q13485	Nucleoplasm, Cytosol
SMIM18		ENSG00000253457	P0DKX4	Nucleoplasm
SNAP91	AP180, CALM, KIAA0656	ENSG00000065609	O60641	Centrosome, Cytosol
SNCG	BCSG1, persyn, SR	ENSG00000173267	O76070	Centrosome
SORBS1	CAP, FLJ12406, KIAA1296, ponsin, SH3D5, sh3p12	ENSG00000095637	Q9BX66	Focal adhesion sites
SP6	Epfn, KLF14	ENSG00000189120	Q3SY56	Nucleoplasm
SPICE1	CCDC52, SPICE	ENSG00000163611	Q8N0Z3	Centrosome
SPPL2B	IMP4, KIAA1532, PSL1	ENSG00000005206	Q8TCT7	Nucleoplasm, Plasma membrane
ST7L	FAM4B, FLJ20284, ST7R, STLR	ENSG00000007341	Q8TDW4	Centrosome
STK26	MASK, MST4	ENSG00000134602	Q9P289	Nucleoplasm
STK32A	MGC22688, YANK1	ENSG00000169302	Q8WU08	Centrosome
SYNJ1	INPP5G, PARK20	ENSG00000159082	O43426	Nucleoplasm, Cytosol
TBC1D31	Gm85, MGC21654, WDR67	ENSG00000156787	Q96DN5	Centrosome
TBX15	TBX14	ENSG00000092607	Q96SF7	Nucleoplasm
TCEA2	TFIIS	ENSG00000171703	Q15560	Nucleoplasm, Centrosome
TCHP	MGC10854, TpMs	ENSG00000139437	Q9BT92	Plasma membrane, Centrosome, Cytosol
TDRKH	TDRD2	ENSG00000182134	Q9Y2W6	Cytosol
TGIF2		ENSG00000118707	Q9GZN2	Nucleoplasm
THAP6	MGC30052	ENSG00000174796	Q8TBB0	Centrosome
TLR10	CD290	ENSG00000174123	Q9BXR5	Cytosol
TMEM132C	DKFZp761O2018, PPP1R152	ENSG00000181234	Q8N3T6	Centrosome, Cytosol
TMEM169	FLJ34263	ENSG00000163449	Q96HH4	Nucleoplasm, Cytosol
TMEM170B		ENSG00000205269	Q5T4T1	Centrosome
TMEM63C	C14orf171, CSC1, DKFZp434P0111, hsCSC1	ENSG00000165548	Q9P1W3	Centrosome
TMEM86B	MGC30208	ENSG00000180089	Q8N661	Centrosome
TRDMT1	DNMT2, RNMT1	ENSG00000107614	O14717	Nucleoli
TRIM2	CMT2R, KIAA0517, RNF86	ENSG00000109654	Q9C040	Centrosome
