Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
MAP3K6	ASK2, MAPKKK6, MEKK6	ENSG00000142733	O95382	Nucleoplasm
MARCKSL1	F52, MacMARCKS, MLP, MLP1	ENSG00000175130	P49006	Cytosol
MCMDC2	C8orf45, FLJ25692	ENSG00000178460	Q4G0Z9	Actin filaments
METTL15	FLJ33979, METT5D1	ENSG00000169519	A6NJ78	Golgi apparatus, Plasma membrane
MFSD6	FLJ20160	ENSG00000151690	Q6ZSS7	Cytosol
MPP4	DLG6	ENSG00000082126	Q96JB8	Cytosol
MPRIP	M-RIP, p116Rip, RHOIP3	ENSG00000133030	Q6WCQ1	Actin filaments
MRPS10	FLJ10567	ENSG00000048544	P82664	Mitochondria
MTMR9	C8orf9, DKFZp434K171, LIP-STYX, MTMR8	ENSG00000104643	Q96QG7	Centrosome
MYH10	NMMHCB	ENSG00000133026	P35580	Actin filaments
MYH9	DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA	ENSG00000100345	P35579	Plasma membrane, Actin filaments
MYLK	MLCK, MLCK1, MYLK1, smMLCK	ENSG00000065534	Q15746	Actin filaments
MYO3A	DFNB30	ENSG00000095777	Q8NEV4	Actin filaments, Cytoplasmic bodies
NAA60	FLJ14154, NAT15	ENSG00000122390	Q9H7X0	Actin filaments, Cytosol
NCOA5	bA465L10.6, CIA	ENSG00000124160	Q9HCD5	Nucleoplasm, Actin filaments
NDC1	FLJ10407, NET3, TMEM48	ENSG00000058804	Q9BTX1	Nuclear membrane
NEGR1	IGLON4, KILON, MGC46680, Ntra	ENSG00000172260	Q7Z3B1	Vesicles, Actin filaments, Cytosol
NEXN	NELIN, nexilin	ENSG00000162614	Q0ZGT2	Actin filaments
NFE2	NF-E2	ENSG00000123405	Q16621	Nucleoplasm, Actin filaments
NOTCH3	CADASIL, CASIL	ENSG00000074181	Q9UM47	Nucleoplasm, Cytosol
NPFFR2	GPR74, NPFF2, NPGPR	ENSG00000056291	Q9Y5X5	Plasma membrane
NPM3		ENSG00000107833	O75607	Nucleoli, Actin filaments, Cytosol
NPTX2		ENSG00000106236	P47972	Golgi apparatus, Actin filaments
ONECUT2	OC-2	ENSG00000119547	O95948	Nucleoplasm
PALLD	CGI-151, KIAA0992, SIH002	ENSG00000129116	Q8WX93	Plasma membrane, Actin filaments
PALMD	C1orf11, FLJ20271, PALML	ENSG00000099260	Q9NP74	Actin filaments
PARD6A	PAR-6, PAR-6A, PAR6alpha, TAX40, TIP-40	ENSG00000102981	Q9NPB6	Cell Junctions, Actin filaments
PARVA	FLJ10793, FLJ12254, MXRA2	ENSG00000197702		Actin filaments, Focal adhesion sites
PAWR	par-4, PAR4	ENSG00000177425	Q96IZ0	Plasma membrane
PDLIM1	CLIM1, CLP-36, CLP36, hCLIM1	ENSG00000107438	O00151	Actin filaments
PDLIM2		ENSG00000120913	Q96JY6	Actin filaments, Focal adhesion sites
PDLIM4	RIL	ENSG00000131435	P50479	Actin filaments, Cytosol
PDLIM7	ENIGMA	ENSG00000196923	Q9NR12	Actin filaments, Focal adhesion sites
PDRG1	C20orf126, dJ310O13.3	ENSG00000088356	Q9NUG6	Actin filaments
PHOSPHO1		ENSG00000173868	Q8TCT1	Actin filaments
PLAT		ENSG00000104368	P00750	Actin filaments
POU6F1	BRN5, MPOU, TCFB1	ENSG00000184271		Nuclear bodies
PPP1R12A	M130, MBS, MYPT1	ENSG00000058272	O14974	Actin filaments, Cytosol
PPP1R12B	MGC131980, MGC87886, MYPT2, PP1bp55	ENSG00000077157	O60237	Plasma membrane, Actin filaments
PRKRIP1	C114, FLJ13902, KRBOX3	ENSG00000128563	Q9H875	Actin filaments
PRSS12	BSSP-3, MRT1	ENSG00000164099	P56730	Actin filaments
PSMD1	P112, Rpn2, S1	ENSG00000173692	Q99460	Nucleoplasm
PSTK	C10orf89, MGC35392	ENSG00000179988	Q8IV42	Actin filaments
PTPN11	BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2	ENSG00000179295	Q06124	Nucleoli
RAI14	DKFZp564G013, KIAA1334, NORPEG, RAI13	ENSG00000039560	Q9P0K7	Nucleoplasm
RFLNB	Cfm1, FAM101B, MGC45871, RefilinB	ENSG00000183688	Q8N5W9	Actin filaments
RGS7BP	R7BP	ENSG00000186479	Q6MZT1	Plasma membrane, Cytosol
RMDN1	CGI-90, FAM82B, FLJ20665, RMD1	ENSG00000176623	Q96DB5	Centrosome
RND1	ARHS, Rho6, RHOS	ENSG00000172602	Q92730	Vesicles, Plasma membrane, Actin filaments
RTN4R	NOGOR	ENSG00000040608	Q9BZR6	Plasma membrane, Focal adhesion sites
SCAND1	RAZ1, SDP1	ENSG00000171222	P57086	Nucleoplasm, Actin filaments
SCN9A	ETHA, Nav1.7, NE-NA, NENA, PN1	ENSG00000169432	Q15858	Plasma membrane, Actin filaments, Focal adhesion sites
SCNN1D	dNaCh, ENaCdelta	ENSG00000162572	P51172	Plasma membrane, Actin filaments
SEC16B	LZTR2, PGPR-p117, RGPR, Sec16S	ENSG00000120341	Q96JE7	Endoplasmic reticulum, Plasma membrane
SEPT1	DIFF6, PNUTL3	ENSG00000180096		Actin filaments
SEPT10	FLJ11619	ENSG00000186522	Q9P0V9	Actin filaments
SEPTIN2	DIFF6, hNedd5, KIAA0158, NEDD5, Pnutl3	ENSG00000168385	Q15019	Actin filaments
SEPT3	Sep-03	ENSG00000100167	Q9UH03	Nucleoplasm, Plasma membrane
SEPT5	H5, HCDCREL-1, PNUTL1	ENSG00000184702	Q99719	Nucleoplasm, Cytosol
SEPT7	CDC10, CDC3, SEPT7A	ENSG00000122545	Q16181	Actin filaments
SEPT8	KIAA0202, SEP2	ENSG00000164402	Q92599	Cytosol
SEPT9	AF17q25, KIAA0991, MSF, MSF1, PNUTL4, SeptD1	ENSG00000184640	Q9UHD8	Actin filaments
SH3BP2	CRBM, RES4-23	ENSG00000087266	P78314	Nucleoplasm, Actin filaments
SIGLEC10	MGC126774, PRO940, SIGLEC-10, SLG2	ENSG00000142512	Q96LC7	Cytosol
SIPA1L1	E6TP1, KIAA0440	ENSG00000197555	O43166	Plasma membrane
SLC25A48	FLJ44862, HDMCP	ENSG00000145832	Q6ZT89	Intermediate filaments
SLC46A3	DKFZp686A1775, FLJ42613	ENSG00000139508	Q7Z3Q1	Plasma membrane, Cytosol
SLC5A9	SGLT4	ENSG00000117834	Q2M3M2	Actin filaments
SMTN		ENSG00000183963	P53814	Nucleoplasm
SPECC1L	CYTSA, KIAA0376	ENSG00000100014	Q69YQ0	Actin filaments
SPON1	f-spondin, KIAA0762	ENSG00000262655	Q9HCB6	Nucleoli, Microtubule ends
SPRY2	hSPRY2	ENSG00000136158	O43597	Actin filaments, Microtubules
SPRYD3	FLJ14800	ENSG00000167778	Q8NCJ5	Nucleoplasm, Actin filaments, Cytosol
SRMS	C20orf148, dJ697K14.1, PTK70, SRM	ENSG00000125508	Q9H3Y6	Intermediate filaments
SSH3	FLJ10928, FLJ20515	ENSG00000172830	Q8TE77	Nuclear speckles, Cytosol
STMND1	FLJ23152	ENSG00000230873	H3BQB6	Actin filaments
STOX2	DKFZp762K222	ENSG00000173320	Q9P2F5	Nucleoplasm, Cytosol
STRN3	PPP2R6B, S/G2NA, SG2NA	ENSG00000196792	Q13033	Cytosol
SVIL		ENSG00000197321	O95425	Plasma membrane
SWAP70	KIAA0640, SWAP-70	ENSG00000133789	Q9UH65	Plasma membrane
SYNPO	KIAA1029	ENSG00000171992	Q8N3V7	Nucleoplasm, Cytosol
SYNPO2	MYOPODIN	ENSG00000172403	Q9UMS6	Vesicles, Actin filaments
SZT2	C1orf84, FLJ10387, FLJ34502, KIAA0467, RP11-506B15.1, SZT2A, SZT2B	ENSG00000198198	Q5T011	Nucleoplasm, Vesicles, Actin filaments
TAGLN2	HA1756, KIAA0120	ENSG00000158710	P37802	Cytosol
TARS		ENSG00000113407	P26639	Cytosol
TAS2R42	hT2R55, T2R24, T2R55, TAS2R55	ENSG00000186136	Q7RTR8	Nucleoplasm, Actin filaments
TAX1BP3	TIP-1	ENSG00000213977	O14907	Nucleoli fibrillar center, Actin filaments
TCTN1	FLJ21127, JBTS13, TECT1	ENSG00000204852	Q2MV58	Nucleoplasm, Actin filaments
TEKT5	CT149, FLJ32871	ENSG00000153060	Q96M29	Actin filaments
TIGD6	DKFZp761E2110	ENSG00000164296	Q17RP2	Nucleoplasm
TMEM147	MGC1936, NIFIE14	ENSG00000105677	Q9BVK8	Golgi apparatus, Actin filaments
TMEM17	FLJ34583	ENSG00000186889	Q86X19	Actin filaments
TMEM50A	SMP1	ENSG00000183726	O95807	Plasma membrane, Cytosol
TMEM59L	BSMAP, C19orf4	ENSG00000105696	Q9UK28	Actin filaments
TMEM63B	C6orf110, dJ421H19.2, DKFZp434P0531	ENSG00000137216	Q5T3F8	Plasma membrane, Actin filaments
TMOD3	UTMOD	ENSG00000138594	Q9NYL9	Cytosol
TMTC2	DKFZp762A217	ENSG00000179104	Q8N394	Plasma membrane
TNFRSF10D	CD264, DcR2, TRAILR4, TRUNDD	ENSG00000173530	Q9UBN6	Plasma membrane, Actin filaments
TNFRSF25	APO-3, DDR3, DR3, LARD, TNFRSF12, TR3, TRAMP, WSL-1, WSL-LR	ENSG00000215788	Q93038	Plasma membrane, Actin filaments, Focal adhesion sites
TNNC1	TNNC	ENSG00000114854	P63316	Nucleoplasm, Actin filaments, Mitochondria
TPM1	C15orf13, CMH3	ENSG00000140416	P09493	Actin filaments
TPM3	NEM1, TRK	ENSG00000143549	P06753	Actin filaments
TPM4		ENSG00000167460	P67936	Actin filaments
TRIM71	LIN-41, LIN41	ENSG00000206557	Q2Q1W2	Plasma membrane, Actin filaments, Focal adhesion sites
TRMT10A	MGC27034, RG9MTD2, TRM10	ENSG00000145331	Q8TBZ6	Nucleoli, Actin filaments
TRPC7		ENSG00000069018	Q9HCX4	Focal adhesion sites
TRUB1	PUS4	ENSG00000165832	Q8WWH5	Vesicles, Actin filaments
UBE2K	HIP2, HYPG, UBC1	ENSG00000078140	P61086	Cytosol
UQCC1	BFZB, C20orf44, CBP3, FLJ10850, UQCC	ENSG00000101019	Q9NVA1	Plasma membrane
WDR47	KIAA0893	ENSG00000085433	O94967	Actin filaments
WDR93		ENSG00000140527	Q6P2C0	Actin filaments
WWC3	BM042, KIAA1280	ENSG00000047644	Q9ULE0	Cytosol
XIRP1	CMYA1, DKFZp451D042, Xin	ENSG00000168334	Q702N8	Plasma membrane, Actin filaments
XKR6	C8orf21, C8orf5, C8orf7	ENSG00000171044	Q5GH73	Actin filaments
ZC2HC1A	C8orf70, CGI-62, FAM164A	ENSG00000104427	Q96GY0	Cytosol
ZC3H13	DKFZp434D1812, KIAA0853	ENSG00000123200	Q5T200	Nuclear membrane, Actin filaments
ZFP62	FLJ34231, ZET, ZNF755	ENSG00000196670	Q8NB50	Nucleoplasm, Actin filaments
ZNF174	ZSCAN8	ENSG00000103343	Q15697	Nucleoplasm
ZNF185	SCELL	ENSG00000147394	O15231	Plasma membrane, Cytosol
ZNF268	HZF3	ENSG00000090612	Q14587	Actin filaments, Cytosol
ZNF74	Cos52, Zfp520, ZNF520	ENSG00000185252	Q16587	Nucleoplasm
ZNF846		ENSG00000196605	Q147U1	Actin filaments
ZSCAN22	HKR2, ZNF50	ENSG00000182318	P10073	Plasma membrane, Cytosol
ZSCAN29	FLJ35867, Zfp690, ZNF690	ENSG00000140265	Q8IWY8	Nucleoplasm
