MitoCarta Gene	Protein ID
DARS2	 Q6PI48
MRPL51	 Q4U2R6
PC	 P11498
CLYBL	 Q8N0X4
PNPLA8	 Q9NP80
MLYCD	 O95822
PYURF	 Q96I23
TIMM17B	 O60830
MRPL32	 Q9BYC8
SLC25A26	 Q70HW3
PRODH2	 Q9UF12
NIT2	 Q9NQR4
FDX1L	 Q6P4F2
TUFM	 P49411
ME2	 P23368
COX6A2	 Q02221
SLC30A9	 Q6PML9
TAMM41	 Q96BW9
TIMM23	 O14925
RMND1	 Q9NWS8
MFN2	 O95140
DNLZ	 Q5SXM8
CHCHD4	 Q8N4Q1
NDUFAB1	 O14561
ACSM1	 Q08AH1
COA5	 Q86WW8
COQ2	 Q96H96
PDSS2	 Q86YH6
EHHADH	 Q08426
NDUFS3	 O75489
ABCB10	 Q9NRK6
MRPS25	 P82663
CKMT2	 P17540
ACAD9	 Q9H845
COX16	 Q9P0S2
FAM210A	 Q96ND0
ACOT13	 Q9NPJ3
GK	 P32189
CPT1A	 P50416
DHRS4	 Q9BTZ2
PRELID2	Q8N945
CARS2	Q9HA77
GBAS	 O75323
C19orf70	 Q5XKP0
NDUFB7	 P17568
GLRX2	 Q9NS18
MRPS30	 Q9NP92
SCO2	 O43819
HSD17B10	 Q99714
NARS2	 Q96I59
RPUSD3	Q6P087
SUOX	P51687
SARDH	 Q9UL12
HRSP12	 P52758
COX8A	 P10176
SPR	 P35270
MPV17	 P39210
ZADH2	Q8N4Q0
MRPL18	 Q9H0U6
ALDH1B1	 P30837
CHCHD1	 Q96BP2
SLC25A18	 Q9H1K4
SLC25A31	 Q9H0C2
SLC25A22	 Q9H936
VDAC3	 Q9Y277
MPC1	 Q9Y5U8
SLC25A24	 Q6NUK1
TIMM8A	 O60220
TRNT1	 Q96Q11
IDE	 P14735
GSTK1	 Q9Y2Q3
VARS2	 Q5ST30
HSPE1	 P61604
MRPL54	 Q6P161
MRPL38	 Q96DV4
ICT1	 Q14197
MTCH1	 Q9NZJ7
TRIAP1	 O43715
PTCD3	 Q96EY7
COX10	Q12887
AKAP1	 Q92667
RNMTL1	Q9HC36
AK2	 P54819
TMEM70	 Q9BUB7
NOA1	 Q8NC60
MCUR1	 Q96AQ8
TMEM14C	 Q9P0S9
NDUFC1	 O43677
MRPL35	 Q9NZE8
NDUFA3	 O95167
PDSS1	 Q5T2R2
SLC25A16	 P16260
C7orf55	FMC1
ACSM3	 Q53FZ2
NDUFAF6	 Q330K2
UCP1	 P25874
SFXN1	Q9H9B4
GLRX5	 Q86SX6
PTRH1	 Q86Y79
MRPS11	 P82912
XPNPEP3	 Q9NQH7
PDP1	 Q9P0J1
ECI1	 P42126
SLC25A45	Q8N413
SLC25A21	 Q9BQT8
SLC25A29	 Q8N8R3
ACN9	Q9NRP4
SLC25A39	 Q9BZJ4
SLMO2	 Q9Y3B1
NDUFB3	 O43676
REXO2	 Q9Y3B8
GATM	 P50440
TIMM10B	 Q9Y5J6
SARS2	 Q9NP81
CHDH	Q8NE62
MRPL57	 Q9BQC6
C8orf82	Q6P1X6
EARS2	 Q5JPH6
GRHPR	 Q9UBQ7
MTFMT	 Q96DP5
PTCD2	Q8WV60
ECHDC1	 Q9NTX5
HARS2	 P49590
NDUFA13	 Q9P0J0
NDUFA4	 O00483
APOA1BP	 Q8NCW5
TMEM11	 P17152
SELO	Q9BVL4
NAGS	 Q8N159
HSD17B4	 P51659
NDUFAF7	 Q7L592
OAT	 P04181
MRPL50	 Q8N5N7
COX7B	 P24311
RARS2	 Q5T160
OXLD1	 Q5BKU9
LACTB2	Q53H82
NDUFA11	 Q86Y39
AURKAIP1	 Q9NWT8
CHCHD7	 Q9BUK0
SHMT2	 P34897
MTHFD2	 P13995
RMDN1	 Q96DB5
CPS1	 P31327
MRPL14	 Q6P1L8
C6orf203	 Q9P0P8
RDH13	 Q8NBN7
TRMT2B	 Q96GJ1
MRPS24	 Q96EL2
COA3	 Q9Y2R0
GSR	 P00390
ENDOG	Q14249
BCAT2	 O15382
TEFM	 Q96QE5
ACSF2	 Q96CM8
TRMU	 O75648
MRPS22	 P82650
LAP3	 P28838
GLUD1	 P00367
HMGCL	 P35914
FHIT	 P49789
MRPS33	 Q9Y291
NUBPL	 Q8TB37
LYRM2	 Q9NU23
MPV17L	 Q2QL34
GADD45GIP1	 Q8TAE8
TFAM	 Q00059
ALDH18A1	 P54886
TARS2	 Q9BW92
CCBL2	 Q6YP21
OXSM	 Q9NWU1
TBRG4	 Q969Z0
TMEM65	Q6PI78
ROMO1	 P60602
PRDX5	 P30044
DNAJC15	 Q9Y5T4
C2orf47	Q8WWC4
HIGD1A	 Q9Y241
C16orf91	 Q4G0I0
RHOT2	 Q8IXI1
SLC25A44	 Q96H78
HAO2	 Q9NYQ3
OXA1L	 Q15070
SLC25A46	Q96AG3
RDH14	 Q9HBH5
C14orf2	 P56378
COASY	 Q13057
CISD3	 P0C7P0
CA5B	 Q9Y2D0
GSTZ1	 O43708
COX6B2	 Q6YFQ2
GLOD4	 Q9HC38
ACAA1	 P09110
CROT	 Q9UKG9
PDF	Q9HBH1
COX19	Q49B96
AMT	 P48728
NLN	 Q9BYT8
PDPR	 Q8NCN5
BOLA1	Q9Y3E2
ALAS2	 P22557
GRPEL2	 Q8TAA5
ALDH7A1	 P49419
CECR5	Q9BXW7
IMMP2L	 Q96T52
GFER	 P55789
COX4I2	 Q96KJ9
MRPL39	 Q9NYK5
AADAT	 Q8N5Z0
FUNDC2	 Q9BWH2
LYPLA1	 O75608
PDHA2	 P29803
GTPBP3	 Q969Y2
MTRF1L	 Q9UGC7
MTHFD2L	Q9H903
YME1L1	 Q96TA2
ACOT2	 P49753
APOPT1	 Q96IL0
MMAB	 Q96EY8
PPOX	 P50336
ABCD3	 P28288
SIRT3	 Q9NTG7
LDHD	 Q86WU2
MRPL45	 B4DEF8
C12orf65	 Q9H3J6
IMMP1L	 Q96LU5
POLG	 P54098
ATPAF1	 Q5TC12
BLOC1S1	 P78537
ALDH1L2	 Q3SY69
COX18	 Q8N8Q8
CPOX	 P36551
NNT	 Q13423
C17orf89	A1L188
XRCC6BP1	 Q9Y6H3
DCAKD	Q8WVC6
ATP5J2	 P56134
SLC16A1	 P53985
SFXN3	 Q9BWM7
LONP2	 Q86WA8
AASS	 Q9UDR5
DIABLO	 Q9NR28
COX8C	 Q7Z4L0
PXMP2	 Q9NR77
AGXT2	 Q9BYV1
GLS2	 Q9UI32
APOO	 Q9BUR5
ACAD11	 Q709F0
C5orf63	 A6NC05
HOGA1	 Q86XE5
TTC19	 Q6DKK2
NGRN	 Q9NPE2
TCAIM	 Q8N3R3
GCSH	 P23434
SIRT5	 Q9NXA8
GPT2	 Q8TD30
TOMM6	 Q96B49
FAM162A	 Q96A26
ABCB6	 Q9NP58
MACROD1	 Q9BQ69
TST	 Q16762
COX1	 P00395
MTFR1L	 Q9H019
SDR39U1	 Q9NRG7
DMGDH	 Q9UI17
SLMO1	 Q96N28
SLC25A14	 O95258
SLC25A17	 O43808
CHCHD5	 Q9BSY4
TOMM70A	O94826
NIT1	Q86X76
FAHD1	 Q6P587
MCU	 Q8NE86
CYP27A1	 Q02318
ND5	 P03915
ND4	 P03905
ND2	 P03891
MDH1	 P40925
KIAA0141	 Q14154
FASTKD1	Q53R41
MRPS31	 Q92665
ALDH1L1	 O75891
PTCD1	O75127
HADHB	 P55084
TRIT1	 Q9H3H1
CRLS1	 Q9UJA2
GLYCTK	 Q8IVS8
SLC25A32	 Q9H2D1
AARS2	 Q5JTZ9
EXOG	 Q9Y2C4
CHCHD2	 Q9Y6H1
KMO	 O15229
SFXN5	 Q8TD22
ELAC2	 Q9BQ52
GPX1	 P07203
CPT1B	 Q92523
ME1	 P48163
FIS1	 Q9Y3D6
PRELID1	 Q9Y255
SLC25A27	 O95847
SLC25A23	 Q9BV35
UCP3	 P55916
SLC25A40	 Q8TBP6
HEMK1	 Q9Y5R4
SLC25A36	 Q96CQ1
OMA1	 Q96E52
LETM2	Q2VYF4
DHRS1	 Q96LJ7
STOM	 P27105
METTL5	 Q9NRN9
MSRA	 Q9UJ68
NMNAT3	 Q96T66
NUDT8	Q8WV74
SLC25A38	Q96DW6
MPV17L2	 Q567V2
ACLY	 P53396
ABCD2	 Q9UBJ2
FLAD1	 Q8NFF5
LIPT1	Q9Y234
C14orf159	Q7Z3D6
PCK2	 Q16822
NADK2	 Q4G0N4
HK2	 P52789
MPST	 P25325
NUDT13	Q86X67
ACACA	 Q13085
ALDH5A1	 P51649
CKMT1A	CKMT1
HMGCS2	P54868
ABAT	 P80404
PISD	 Q9UG56
FAM136A	Q96C01
NDUFB4	 O95168
TOMM5	 Q8N4H5
UQCR11	 O14957
HTRA2	 O43464
GPI	 P06744
NDUFA1	 O15239
CYTB	 P00156
GUK1	 Q16774
D2HGDH	 Q8N465
OPA3	 Q9H6K4
AKR1B10	 O60218
PHYH	 O14832
NDUFAF2	 Q8N183
ECSIT	 Q9BQ95
PARL	 Q9H300
MRPL42	 Q9Y6G3
DNAJC4	 Q9NNZ3
PAM16	 Q9Y3D7
ALDH3A2	 P51648
ACSL6	 Q9UKU0
TYSND1	 Q2T9J0
MRS2	 Q9HD23
ABHD10	Q9NUJ1
HINT3	 Q9NQE9
PXMP4	 Q9Y6I8
OSGEPL1	 Q9H4B0
NUDT2	 P50583
CYB5B	 O43169
GRSF1	Q12849
DNAJC30	 Q96LL9
MRPS18B	 Q9Y676
CAT	P04040
ACSS1	 Q9NUB1
ACOT9	 Q9Y305
DGUOK	 Q16854
RFK	 Q969G6
STARD7	 Q9NQZ5
CHPT1	 Q8WUD6
SPATA19	 Q7Z5L4
TIMMDC1	 Q9NPL8
ATP8	 P03928
HTATIP2	 Q9BUP3
AKR7A2	 O43488
DUT	 P33316
KIAA0100	 Q14667
COX3	 P00414
DHRS7B	 Q6IAN0
MTRF1	 O75570
TMEM143	Q96AN5
NT5M	 Q9NPB1
RHOT1	 Q8IXI2
MTHFS	 P49914
NME4	 O00746
C19orf52	Q9BSF4
PNPO	 Q9NVS9
IDH1	 O75874
MICU2	 Q8IYU8
PCBD2	 Q9H0N5
QRSL1	 Q9H0R6
ADCK1	Q86TW2
PRDX6	 P30041
TKT	 P29401
NIPSNAP1	Q9BPW8
GARS	 P41250
ACSM2A	 Q08AH3
SLC25A33	 Q9BSK2
DHRSX	 Q8N5I4
LYRM9	 A8MSI8
RAB24	Q969Q5
PARS2	 Q7L3T8
MRPL52	Q86TS9
PUS1	 Q9Y606
CARKD	 Q8IW45
GOT2	 P00505
ND3	 P03897
ACCS	 Q96QU6
PTRH2	 Q9Y3E5
PGS1	Q32NB8
OXR1	 Q8N573
LYPLAL1	Q5VWZ2
DNAJC28	 Q9NX36
GSTO1	 P78417
FPGS	Q05932
TMEM205	 Q6UW68
SLC25A53	 Q5H9E4
AIFM3	 Q96NN9
MGST1	 P10620
ABCA13	Q86UQ4
MTFP1	 Q9UDX5
TUBB3	 Q13509
COA4	 Q9NYJ1
NIF3L1	 Q9GZT8
PUSL1	Q8N0Z8
SDSL	 Q96GA7
BAX	 Q07812
MAVS	 Q7Z434
METTL17	 Q9H7H0
ACACB	 O00763
ARG2	P78540
MTPAP	 Q9NVV4
CCDC51	Q96ER9
SUGCT	 Q9HAC7
DNM1L	 O00429
NRD1	 O43847
TMEM126B	Q8IUX1
NSUN4	 Q96CB9
ACSS3	Q9H6R3
FAM210B	 Q96KR6
RBFA	 Q8N0V3
CISD2	 Q8N5K1
METAP1D	 Q6UB28
AHCYL1	 O43865
NIPSNAP3A	 Q9UFN0
MARC1	 Q5VT66
FUNDC1	Q8IVP5
ACSL1	 P33121
COX20	 Q5RI15
HSDL1	 Q3SXM5
CBR3	 O75828
MTERFD2	 Q7Z6M4
NUDT19	 A8MXV4
HEBP1	 Q9NRV9
PGAM5	 Q96HS1
PTPMT1	 Q8WUK0
DTYMK	 P23919
KARS	 Q15046
STAR	 P49675
DNAJC19	 Q96DA6
HMBS	 P08397
OTC	 P00480
COX7A2L	 O14548
MTERFD1	 Q96E29
SFXN2	Q96NB2
FASN	 P49327
PINK1	 Q9BXM7
TMEM177	Q53S58
TXNRD1	 Q16881
THNSL1	 Q8IYQ7
SLC37A4	 O43826
IDI1	 Q13907
FDPS	 P14324
TOP3A	 Q13472
FTMT	 Q8N4E7
LDHAL6B	 Q9BYZ2
ATXN2	 Q99700
MTFR1	 Q15390
DDAH1	 O94760
BCL2L13	 Q9BXK5
TRMT10C	 Q7L0Y3
ACOT7	 O00154
TFB1M	 Q8WVM0
ARF5	P84085
CCDC109B	 Q9NWR8
C10orf2	 Q96RR1
MMADHC	 Q9H3L0
ALKBH3	 Q96Q83
PYCR2	 Q96C36
RPS18	 P62269
TSTD1	 Q8NFU3
RDH11	 Q8TC12
HSPB7	 Q9UBY9
LYRM1	 O43325
OSBPL1A	 Q9BXW6
RECQL4	 O94761
PET100	 P0DJ07
GDAP1	 Q8TB36
HK1	 P19367
